"date_reported","type","ctar","id_ctar","distcode","commcode","known_cat1","source","no_patients"
2016-12-14,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-12-14,"new","Moramanga",8,"MG33314","MG33314030",1,"Moramanga",4
2016-12-15,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-12-15,"new","Moramanga",8,"MG33314","MG33314010",1,"Moramanga",2
2016-12-15,"new","Moramanga",8,"MG33314","MG33314150",0,"Moramanga",1
2016-12-15,"new","Moramanga",8,"MG33317","MG33317011",0,"Moramanga",1
2016-12-16,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-12-16,"new","Moramanga",8,"MG33314","MG33314010",1,"Moramanga",1
2016-12-16,"new","Moramanga",8,"MG33314","MG33314030",1,"Moramanga",1
2016-12-17,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-12-17,"new","Moramanga",8,"MG33314","MG33314010",1,"Moramanga",1
2016-12-17,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-12-17,"new","Moramanga",8,"MG33314","MG33314030",1,"Moramanga",6
2016-12-17,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2016-12-19,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-12-19,"new","Moramanga",8,"MG33317","MG33317011",0,"Moramanga",2
2016-12-20,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-12-21,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-12-21,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-12-21,"new","Moramanga",8,"MG33314","MG33314030",1,"Moramanga",8
2016-12-21,"new","Moramanga",8,"MG33317","MG33317051",0,"Moramanga",1
2016-12-23,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-12-23,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-12-23,"new","Moramanga",8,"MG33314","MG33314130",0,"Moramanga",1
2016-12-24,"new","Moramanga",8,"MG33314","MG33314250",0,"Moramanga",1
2016-12-25,"new","Moramanga",8,"MG11101","MG11101003",0,"Moramanga",1
2016-12-26,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2016-12-27,"new","Moramanga",8,"MG11101","MG11101001",1,"Moramanga",1
2016-12-27,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-12-27,"new","Moramanga",8,"MG33314","MG33314010",1,"Moramanga",3
2016-12-27,"new","Moramanga",8,"MG33314","MG33314110",1,"Moramanga",4
2016-12-27,"new","Moramanga",8,"MG33314","MG33314330",0,"Moramanga",1
2016-12-28,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-12-28,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2016-12-28,"new","Moramanga",8,"MG33314","MG33314110",1,"Moramanga",13
2016-12-29,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-12-29,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",2
2016-12-29,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2016-12-30,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-12-30,"new","Moramanga",8,"MG33314","MG33314070",0,"Moramanga",1
